Район,Едностайни - цена,Едностайни - €/кв.м,Двустайни - цена,Двустайни - €/кв.м,Тристайни - цена,Тристайни - €/кв.м,Общо - €/кв.м,Дата
Левски Г,48 450,1 034,64 742,868,125 400,1 327,1 323,26.7.2022
Летище София,Null,Null,94 287,1 029,160 644,997,997,26.7.2022
Лозенец,61 874,1 092,121 742,1 764,204 250,1 922,1 814,26.7.2022
Люлин - център,24 043,801,79 040,1 117,124 165,1 275,1 235,26.7.2022
Люлин 1,39 425,1 025,50 768,791,90 250,1 049,950,26.7.2022
Люлин 10,37 525,757,73 387,1 046,95 669,974,963,26.7.2022
Люлин 2,39 900,802,63 546,865,105 782,908,898,26.7.2022
Люлин 3,42 750,934,66 405,1 154,104 500,1 215,1 134,26.7.2022
Люлин 4,50 350,1 071,74 100,1 073,103 550,1 226,1 104,26.7.2022
Люлин 5,40 375,893,55 337,960,96 900,1 003,979,26.7.2022
Люлин 6,38 950,902,55 432,927,105 830,1 047,955,26.7.2022
Люлин 7,45 124,1 051,55 100,886,107 350,1 172,1 148,26.7.2022
Люлин 8,47 737,945,65 549,918,95 950,989,938,26.7.2022
Люлин 9,55 741,1 176,85 405,1 222,95 950,1 117,1 140,26.7.2022
Малинова долина,58 414,1 285,87 181,1 283,133 000,1 254,1 279,26.7.2022
Манастирски ливади,71 250,1 507,104 979,1 507,177 507,1 513,1 476,26.7.2022
Медицинска академия,75 525,2 111,143 212,2 241,189 525,1 900,1 926,26.7.2022
Младост 1,58 900,1 609,70 300,1 062,129 105,1 548,1 315,26.7.2022
Младост 1А,59 375,1 236,65 550,921,109 158,905,936,26.7.2022
Младост 2,59 375,1 292,81 700,1 086,128 250,1 169,1 140,26.7.2022
Младост 3,47 499,1 084,85 737,1 391,132 050,1 400,1 326,26.7.2022
Младост 4,50 350,1 121,88 587,1 349,145 387,1 354,1 341,26.7.2022
Модерно предградие,35 055,894,71 250,760,87 166,758,764,26.7.2022
Мусагеница,65 550,1 500,107 350,1 559,123 025,1 506,1 542,26.7.2022
НПЗ Искър,Null,Null,50 127,569,Null,Null,617,26.7.2022
НПЗ Хаджи Димитър,71 250,1 515,95 950,1 854,171 000,1 413,1 515,26.7.2022
Надежда 1,39 900,893,80 275,1 283,112 100,1 187,1 208,26.7.2022
Надежда 2,51 299,1 120,83 125,1 276,120 650,1 296,1 274,26.7.2022
Надежда 3,44 080,932,61 085,961,86 877,933,961,26.7.2022
Надежда 4,41 800,928,73 197,1 149,109 487,1 151,1 125,26.7.2022
Обеля,34 200,684,84 603,1 203,100 225,1 089,1 166,26.7.2022
Обеля 1,61 750,1 470,65 892,1 105,104 500,1 148,1 130,26.7.2022
Обеля 2,61 750,1 372,74 100,1 202,107 998,1 293,1 202,26.7.2022
Оборище,110 077,2 052,118 599,1 949,200 043,1 951,1 945,26.7.2022
Овча купел,61 275,1 150,95 000,1 274,135 156,1 264,1 262,26.7.2022
Овча купел 1,44 887,940,70 888,985,109 250,1 005,991,26.7.2022
Овча купел 2,45 600,1 011,75 690,1 144,127 392,1 094,1 097,26.7.2022
Орландовци,38 474,808,88 920,1 237,89 252,922,1 057,26.7.2022
ПЗ Хладилника,42 491,997,111 625,1 617,174 895,1 622,1 619,26.7.2022
Павлово,70 062,1 370,72 094,1 135,156 018,1 323,1 263,26.7.2022
Подуяне,47 098,841,102 531,1 424,167 105,1 654,1 611,26.7.2022
Полигона,63 745,1 520,97 849,1 407,145 515,1 700,1 534,26.7.2022
Разсадника,59 375,1 279,81 035,1 162,115 899,1 369,1 325,26.7.2022
Редута,56 145,1 199,81 700,1 181,128 250,1 213,1 155,26.7.2022
СПЗ Модерно предградие,Null,Null,78 375,1 205,Null,Null,1 205,26.7.2022
СПЗ Слатина,Null,Null,58 900,841,Null,Null,841,26.7.2022
Света Троица,42 987,950,104 974,1 536,131 100,1 525,1 461,26.7.2022
Свобода,59 367,1 247,57 310,889,63 650,696,781,26.7.2022
Сердика,35 625,757,88 300,1 436,148 271,1 527,1 495,26.7.2022
Симеоново,60 090,1 007,106 067,1 380,211 185,1 400,1 351,26.7.2022
Славия,39 567,747,105 213,1 220,183 181,1 427,1 265,26.7.2022
Слатина,63 840,1 247,87 590,1 406,103 553,996,1 230,26.7.2022
Стрелбище,114 950,2 020,118 750,1 583,154 850,1 401,1 544,26.7.2022
Студентски град,48 687,1 145,87 400,1 316,136 509,1 284,1 272,26.7.2022
Сухата река,49 495,1 425,88 160,1 358,146 205,1 360,1 360,26.7.2022
Суходол,61 750,1 403,51 276,806,96 900,831,878,26.7.2022
Толстой,58 900,1 227,68 495,1 236,99 571,998,1 139,26.7.2022
Триъгълника,60 739,1 432,80 750,1 229,121 163,1 331,1 328,26.7.2022
Филиповци,Null,Null,66 500,801,Null,Null,703,26.7.2022
Фондови жилища,80 750,1 583,78 588,1 536,58 852,667,1 546,26.7.2022
Хаджи Димитър,38 000,902,84 550,1 365,128 250,1 425,1 413,26.7.2022
Хиподрума,49 400,985,75 050,1 103,166 650,1 497,1 253,26.7.2022
Хладилника,43 716,993,112 385,1 617,199 975,1 706,1 667,26.7.2022
Христо Ботев,Null,Null,Null,Null,Null,Null,679,26.7.2022
Център,61 702,1 420,116 850,1 616,171 000,1 768,1 727,26.7.2022
Яворов,40 850,1 317,217 075,3 196,190 000,2 035,2 095,26.7.2022
в.з.Американски колеж,Null,Null,39 900,570,53 580,570,1 473,26.7.2022
в.з.Беловодски път,Null,Null,128 250,1 198,Null,Null,1 198,26.7.2022
в.з.Бояна,Null,Null,Null,Null,164 350,1 254,1 254,26.7.2022
в.з.Бункера,Null,Null,Null,Null,190 000,1 357,1 357,26.7.2022
в.з.Врана - Лозен,13 898,397,66 125,826,126 825,1 157,1 087,26.7.2022
в.з.Киноцентъра,Null,Null,Null,Null,Null,Null,2 533,26.7.2022
в.з.Киноцентъра 3 част,Null,Null,193 933,1 484,248 292,1 254,1 254,26.7.2022
в.з.Малинова долина,Null,Null,111 070,1 388,172 216,1 520,1 520,26.7.2022
в.з.Малинова долина - Герена,Null,Null,Null,Null,Null,Null,1 667,26.7.2022
в.з.Симеоново - Драгалевци,Null,Null,134 425,1 403,218 500,1 410,1 410,26.7.2022
гр. Банкя,24 700,737,89 300,1 306,118 750,980,1 028,26.7.2022
гр. Бухово,Null,Null,23 275,392,Null,Null,392,26.7.2022
гр. Нови Искър,Null,Null,46 550,732,Null,Null,732,26.7.2022
ж.гр.Зоопарк,Null,Null,88 825,1 290,133 332,1 235,1 243,26.7.2022
ж.гр.Южен парк,Null,Null,194 750,2 110,362 425,2 160,2 153,26.7.2022
м-т Гърдова глава,71 250,1 661,94 905,1 318,210 130,1 586,1 517,26.7.2022
м-т Детски град,Null,Null,103 391,1 397,161 833,1 401,1 405,26.7.2022
м-т Камбаните,Null,Null,126 959,1 743,220 152,1 929,1 397,26.7.2022
м-т яз. Искър,Null,Null,Null,Null,95 950,1 072,1 072,26.7.2022
с. Бистрица,Null,Null,Null,Null,149 625,1 425,1 616,26.7.2022
с. Владая,Null,Null,Null,Null,33 250,503,503,26.7.2022
с. Волуяк,Null,Null,66 500,503,66 500,503,503,26.7.2022
с. Герман,Null,Null,Null,Null,170 842,1 123,1 230,26.7.2022
с. Иваняне,Null,Null,152 000,1 535,Null,Null,1 535,26.7.2022
с. Лозен,Null,Null,51 110,880,85 657,827,855,26.7.2022
с. Мировяне,Null,Null,50 350,915,Null,Null,851,26.7.2022
с. Мрамор,Null,Null,68 400,1 140,103 740,1 140,1 140,26.7.2022
с. Мърчаево,Null,Null,26 600,266,35 862,297,297,26.7.2022
с. Панчарево,Null,Null,108 878,1 389,159 120,1 134,1 269,26.7.2022
с. Световрачене,37 050,771,Null,Null,64 600,717,744,26.7.2022
